Index,Confirmed,Recovered,Deaths
0,1,0,0
1,1,0,0
2,2,0,0
3,2,0,0
4,5,0,0
5,5,0,0
6,5,0,0
7,6,0,0
8,6,0,0
9,8,0,0
10,8,0,0
11,8,0,0
12,11,0,0
13,11,0,0
14,11,0,0
15,12,0,0
16,12,0,0
17,12,0,0
18,12,3,0
19,12,3,0
20,13,3,0
21,13,3,0
22,14,3,0
23,14,3,0
24,14,3,0
25,14,3,0
26,14,3,0
27,14,3,0
28,14,3,0
29,14,3,0
30,16,5,0
31,16,5,0
32,16,5,0
33,16,5,0
34,16,6,0
35,16,6,0
36,17,6,0
37,17,7,0
38,25,7,1
39,32,7,1
40,55,7,6
41,74,7,7
42,107,7,11
43,184,7,12
44,237,7,14
45,403,7,17
46,519,7,21
47,594,7,22
48,782,8,28
49,1147,8,33
50,1586,12,43
51,2219,12,51
52,2978,12,58
53,3212,12,70
54,4679,17,97
55,6512,17,134
56,9169,105,194
57,13663,121,266
58,20030,147,372
59,26025,176,475
60,34898,178,596
61,46136,178,788
62,56755,348,1031
63,68837,361,1364
64,86693,681,1783
65,105383,869,2305
66,125013,1072,2947
67,143912,2665,3571
68,165987,5644,4284
69,192301,7024,5369
70,224560,8474,6652
71,256792,9001,8164
72,289087,9707,9595
73,321477,14652,11158
74,351354,17448,12773
75,382747,19581,14544
76,413516,21763,17119
77,444731,23559,19279
78,480667,25410,21482
79,515081,28790,23676
80,544183,31270,25803
81,571440,32988,27677
82,598380,43482,29686
83,627205,47763,32121
84,652611,52096,34733
85,682626,54703,36876
86,715656,58545,38986
87,743588,64840,40959
88,769684,70337,42930
89,799512,72329,45159
90,825429,75204,47673
91,854288,77366,50133
92,887858,80203,52589
93,920185,99079,54777
94,950581,100372,56488
95,977082,106988,57887
96,1000785,111424,59395
97,1025362,115936,61619
98,1051800,120720,64037
99,1081020,153947,66232
100,1115946,164015,68141
101,1143296,175382,69872
102,1167593,180152,71062
103,1191678,187180,72442
104,1216209,189791,74684
105,1240769,189910,76998
106,1268180,195036,78927
107,1295019,198993,80690
108,1320155,212534,82158
109,1339022,216169,83136
110,1358293,232733,84178
111,1381241,230287,85777
112,1401649,243430,87504
113,1428467,246414,89300
114,1453214,250747,90968
115,1477373,268376,92166
116,1495736,272265,92987
117,1518126,283178,94214
118,1539133,289392,95670
119,1561830,294312,97171
120,1587596,298418,98356
121,1611253,350135,99573
122,1632364,361239,100663
123,1652431,366736,101302
124,1671104,379157,101894
125,1690754,384902,102571
126,1709303,391508,104034
127,1731625,399991,105135
128,1756098,406446,106268
129,1779731,416461,107222
130,1798718,444758,107837
131,1816154,458231,108613
132,1837656,463868,109594
133,1857511,479258,110604
134,1879150,485002,111617
135,1904550,491706,112508
136,1925710,500849,113150
137,1943626,506367,113609
138,1961263,518522,114116
139,1979647,524855,115029
140,2000757,533504,115905
141,2023890,540292,116735
142,2048756,547386,117564
143,2073964,556606,118299
144,2092912,561816,118643
145,2112731,576334,119039
146,2136401,583503,119853
147,2163465,592191,120592
148,2191991,599115,121281
149,2223553,606715,121910
150,2255823,617460,122469
151,2280971,622133,122786
152,2313123,640198,123193
153,2350198,647548,123941
154,2386074,656161,124678
155,2426391,663562,125215
156,2472385,670809,125844
157,2513731,679308,126347
158,2554461,685164,126665
159,2595744,705203,127050
160,2642174,720631,127603
161,2693993,729994,128307
162,2750622,781970,129020
163,2801983,790404,129690
164,2847664,894325,130005
165,2898432,906763,130331
166,2941517,924148,130707
167,3002171,936476,131869
168,3062290,953462,132694
169,3124786,969111,133714
170,3192841,983185,134531
171,3252874,995576,135259
172,3311312,1006326,135731
173,3370208,1031939,136176
174,3438244,1049098,137104
175,3506364,1075882,138079
176,3582184,1090645,139035
177,3654445,1107204,139959
178,3716980,1122720,140816
179,3777456,1131121,141297
180,3839546,1160087,141860
181,3904066,1182018,142951
182,3974630,1210849,144175
183,4043070,1233269,145245
184,4116393,1261624,146352
185,4181308,1279414,147282
186,4236083,1297863,147813
187,4292934,1325804,148939
188,4359391,1355363,150269
189,4431244,1389425,151683
190,4498701,1414155,152914
191,4567420,1438160,154151
192,4623604,1461885,155244
193,4669149,1468689,155681
194,4714678,1513446,156262
195,4773479,1528979,157544
196,4827936,1577851,158982
197,4887293,1598624,160226
198,4946590,1623870,161463
199,5000709,1643118,162541
200,5046463,1656864,163065
201,5094087,1670755,163700
202,5142088,1714960,164720
203,5198137,1753760,166219
204,5249451,1774648,167286
205,5314791,1796326,168622
206,5361712,1818527,169622
207,5400904,1833067,170239
208,5437580,1865580,170732
209,5482614,1898159,171958
210,5529973,1925049,173297
211,5574013,1947035,174400
212,5622842,1965056,175491
213,5665887,1985484,176400
214,5700119,1997761,176945
215,5736641,2020774,177418
216,5777001,2053699,178654
217,5822167,2084465,179820
218,5867547,2101326,180936
219,5914395,2118367,181913
220,5957126,2140614,182814
221,5991507,2153939,183268
222,6026895,2184825,183810
223,6068759,2202663,184838
224,6109773,2231757,185917
225,6153983,2266957,186954
226,6204376,2283454,187912
227,6247464,2302187,188674
228,6278633,2315995,189144
229,6302200,2333551,189440
230,6329593,2359111,189892
231,6363650,2387479,191052
232,6399723,2403511,191968
233,6447501,2417878,193142
234,6488563,2434658,193844
235,6522914,2451406,194279
236,6557342,2474570,194710
237,6596849,2495127,195910
238,6635867,2525573,196866
239,6681004,2540334,197727
240,6730288,2556465,198623
241,6772447,2577446,199355
242,6810862,2590671,199620
243,6862834,2615949,200047
244,6902696,2646959,201079
245,6941758,2670256,202135
246,6988869,2710183,203032
247,7037151,2727335,203976
248,7081803,2750459,204744
249,7119311,2766280,205059
250,7152546,2794608,205417
251,7195994,2813305,206251
252,7235428,2840688,207209
253,7281081,2860650,208082
254,7336043,2873369,208942
255,7384578,2897322,209626
256,7420293,2911699,210007
257,7459742,2935142,210487
258,7504998,2952390,211173
259,7556060,2999895,212100
260,7614653,3021252,213089
261,7671034,3039089,214057
262,7725952,3062983,214715
263,7771893,3075077,215186
264,7813735,3106728,215580
265,7865983,3124593,216376
266,7925748,3155794,217366
267,7990636,3177397,218215
268,8059782,3197539,219152
269,8116518,3220573,219914
270,8165858,3234138,220407
271,8233610,3272603,220886
272,8295581,3295148,221810
273,8358864,3323354,222931
274,8435164,3353056,223845
275,8517113,3375427,224812
276,8599842,3406656,225763
277,8661982,3422878,226225
278,8729385,3460455,226758
279,8806228,3487666,227731
280,8885632,3518140,228766
281,8976684,3554336,229770
282,9075924,3578452,230831
283,9165619,3612478,231741
284,9270467,3630579,232237
285,9355775,3674981,232809
286,9482891,3705130,234387
287,9587499,3743527,235502
288,9716853,3781751,236658
289,9844858,3810791,237897
290,9972308,3851465,238978
291,10087380,3881491,239550
292,10207953,3928845,240329
293,10348449,3961873,241747
294,10495075,3997175,243183
295,10659914,4051256,244387
296,10840303,4095146,245587
297,11008064,4148444,246934
298,11144288,4174884,247710
299,11307233,4244811,248539
300,11471155,4293640,250260
301,11644332,4350789,252179
302,11835880,4410709,254231
303,12034177,4457930,256188
304,12213451,4529700,257807
305,12360235,4526513,258840
306,12534684,4633600,259940
307,12710198,4696664,262069
308,12893485,4835956,264332
309,13005807,4871203,265717
310,13213995,4947446,267266
311,13369528,5023063,268626
312,13509762,5065030,269662
313,13670332,5146319,271008
314,13858551,5226581,273554
315,14061108,5322128,276369
316,14284721,5404018,279324
317,14517506,5470389,282023
318,14733048,5576026,284377
319,14914060,5624444,285723
320,15108918,5714557,287328
321,15333410,5786915,289949
322,15555949,5889896,293131
323,15787464,5985047,296126
324,16027441,6135314,299543
325,16245026,6246605,302002
326,16432729,6298082,303629
327,16627550,0,305279
328,16836556,0,308398
329,17083256,0,312062
330,17322981,0,315563
331,17574950,0,318531
332,17766856,0,321185
333,17954675,0,322900
334,18153724,0,324820
335,18351735,0,328219
336,18581353,0,331640
337,18775557,0,334548
338,18873203,0,335975
339,19099491,0,337860
340,19255126,0,339287
341,19429760,0,341291
342,19630012,0,344924
343,19863696,0,348656
344,20099363,0,352136
345,20252991,0,354286
346,20553301,0,356794
347,20762047,0,358242
348,20946329,0,360335
349,21181440,0,364050
350,21436884,0,367976
351,21715174,0,371963
352,22010389,0,376071
353,22271084,0,379392
354,22484332,0,381392
355,22699326,0,383496
356,22926246,0,387971
357,23156608,0,392003
358,23392315,0,395991
359,23635046,0,399883
360,23836726,0,403287
361,24014508,0,405186
362,24157924,0,406721
363,24334630,0,409454
364,24517866,0,413862
365,24711684,0,418067
366,24902437,0,421912
367,25073050,0,425257
368,25204112,0,427156
369,25356081,0,429132
370,25503621,0,433140
371,25657566,0,437100
372,25826176,0,441139
373,25992744,0,444774
374,26135056,0,447560
375,26247053,0,449414
376,26382255,0,451481
377,26497588,0,454911
378,26619229,0,458818
379,26743204,0,462554
380,26877601,0,466242
381,26981588,0,468883
382,27071236,0,470320
383,27161551,0,471937
384,27257183,0,475012
385,27352360,0,478322
386,27458120,0,481529
387,27557758,0,484458
388,27644880,0,486656
389,27709901,0,487817
390,27764087,0,488775
391,27826806,0,490524
392,27896924,0,492930
393,27966848,0,495449
394,28046145,0,498080
395,28117670,0,499898
396,28174750,0,501147
397,28230970,0,502470
398,28303233,0,504744
399,28377965,0,507923
400,28455466,0,510369
401,28532812,0,512437
402,28597387,0,513952
403,28648744,0,515046
404,28706973,0,516568
405,28764033,0,518518
406,28831226,0,521009
407,28899277,0,522947
408,28965728,0,524732
409,29023931,0,526238
410,29064938,0,526936
411,29109974,0,527676
412,29167616,0,529483
413,29225536,0,531056
414,29288010,0,532623
415,29349533,0,534193
416,29402465,0,535189
417,29440686,0,535769
418,29497352,0,536525
419,29551309,0,537702
420,29610445,0,538937
421,29670983,0,540601
422,29732612,0,541749
423,29787986,0,542491
424,29821754,0,542931
425,29873347,0,543650
426,29926950,0,544527
427,30013910,0,546039
428,30081375,0,547450
429,30158696,0,548602
430,30221396,0,549389
431,30264493,0,549911
432,30333922,0,550622
433,30395171,0,551506
434,30462210,0,552597
435,30541255,0,553675
436,30611086,0,554627
437,30674153,0,555363
438,30709125,0,555657
439,30786804,0,556173
440,30847348,0,557033
441,30922386,0,559624
442,31002264,0,560645
443,31084962,0,561532
444,31151497,0,562246
445,31197877,0,562543
446,31268107,0,563017
447,31345985,0,563847
448,31421360,0,564816
449,31495649,0,565715
450,31575640,0,566585
451,31628013,0,567276
452,31670031,0,567607
453,31737964,0,568100
454,31799237,0,568934
455,31862094,0,569786
456,31929351,0,570740
457,31991750,0,571509
458,32045113,0,572235
459,32077178,0,572521
460,32124869,0,573000
461,32175725,0,573644
462,32230850,0,574608
463,32289049,0,575467
464,32346971,0,576198
465,32392274,0,576902
466,32421641,0,577226
467,32472201,0,577710
468,32512934,0,578583
469,32557669,0,579359
470,32605183,0,580148
471,32652472,0,580901
472,32686965,0,581516
473,32708357,0,581754
474,32745255,0,582153
475,32778374,0,582834
